	103504732
hsa-mir-519e	574463
hsa-mir-584	693169
hsa-mir-583	693168
hsa-mir-586	693171
hsa-mir-585	693170
hsa-mir-588	693173
hsa-mir-519b	574469
hsa-mir-587	693172
hsa-mir-5197	100846991
hsa-mir-580	693165
hsa-mir-5193	100847079
hsa-mir-5194	100847051
hsa-mir-5195	100847062
hsa-mir-5196	100847070
hsa-mir-5190	100847080
hsa-mir-5191	100847050
hsa-mir-5192	100847087
hsa-mir-579	693164
hsa-mir-578	693163
hsa-mir-518f	574472
hsa-mir-518b	574474
hsa-mir-571	693156
"hsa-mir-6077-1	102466225
hsa-mir-518c	574477
hsa-mir-570	693155
hsa-mir-518d	574489
hsa-mir-573	693158
hsa-mir-518e	574487
hsa-mir-572	693157
hsa-mir-575	693160
hsa-mir-574	693159
hsa-mir-577	693162
hsa-mir-576	693161
hsa-mir-6078	102464829
hsa-mir-6079	102464830
hsa-mir-6074	102464827
hsa-mir-6073	102464826
hsa-mir-6076	102464828
hsa-mir-6075	102466103
hsa-mir-6070	102464825
hsa-mir-219-2	407003
hsa-mir-6072	102465944
hsa-mir-219-1	407002
hsa-mir-6071	102466516
hsa-mir-568	693153
hsa-mir-567	693152
hsa-mir-569	693154
hsa-mir-562	693147
hsa-mir-561	693146
hsa-mir-564	693149
hsa-mir-563	693148
hsa-mir-566	693151
hsa-mir-6069	102464824
hsa-mir-6068	102464823
hsa-mir-557	693142
hsa-mir-4419b	100616298
hsa-mir-1-2	406905
hsa-mir-556	693141
hsa-mir-559	693144
hsa-mir-558	693143
hsa-mir-4419a	100616177
hsa-mir-553	693138
hsa-mir-552	693137
hsa-mir-1-1	406904
hsa-mir-555	693140
hsa-mir-554	693139
hsa-mir-550a-2"	693134
mi0029321	103504735
hsa-mir-3150a"	100422964
hsa-mir-545	664614
hsa-mir-549	693132
hsa-mir-542	664617
hsa-mir-541	100126308
hsa-mir-544	664613
hsa-mir-543	100126335
hsa-mir-6088	102464836
hsa-mir-6085	102464834
hsa-mir-6084	102464833
hsa-mir-6087	102464835
hsa-mir-6086	102466519
hsa-mir-6081	102466518
hsa-mir-6080	102464831
hsa-mir-6083	102464832
hsa-mir-6082	102466953
hsa-mir-6090	102466104
hsa-mir-509-1"	574514
hsa-mir-539	664612
hsa-mir-3913-2	100500868
hsa-mir-3913-1	100500903
hsa-mir-124-1"	406907
hsa-mir-532	693124
hsa-mir-99a	407055
hsa-mir-99b	407056
hsa-mir-524	574478
hsa-mir-523	574471
hsa-mir-3926-2	100500838
hsa-mir-525	574470
hsa-mir-3926-1	100500870
hsa-mir-527	574497
hsa-mir-124-2"	406908
hsa-mir-522	574495
hsa-mir-124-3"	406909
hsa-mir-510	574515
hsa-mir-4277	100422966
hsa-mir-4278	100422999
hsa-mir-4279	100422874
hsa-mir-4273	100422955
hsa-mir-4274	100422826
hsa-mir-4275	100422937
hsa-mir-4276	100423042
hsa-mir-4270	100422868
hsa-mir-4271	100422952
hsa-mir-4272	100422941
"hsa-mir-516-3	574485
"hsa-mir-516-4	574490
hsa-mir-502	574504
"hsa-mir-516-1	574498
hsa-mir-501	574503
"hsa-mir-516-2	574499
hsa-mir-504	574507
hsa-mir-503	574506
hsa-mir-506	574511
hsa-mir-505	574508
hsa-mir-508	574513
hsa-mir-507	574512
hsa-mir-208b	100126336
hsa-mir-500	574502
hsa-mir-4266	100423027
hsa-mir-4267	100422994
hsa-mir-4268	100422959
hsa-mir-4269	100423043
hsa-mir-4262	100422996
hsa-mir-4263	100422965
hsa-mir-4264	100422888
hsa-mir-4265	100422863
hsa-mir-5590	100847069
hsa-mir-4260	100422894
hsa-mir-5591	100847065
hsa-mir-4261	100422929
hsa-mir-146a"	406938
hsa-mir-6859-2	102465909
hsa-mir-6859-1	102466751
hsa-mir-6859-3	102465910
hsa-mir-4299	100423026
hsa-mir-4295	100422909
hsa-mir-4296	100423041
hsa-mir-4297	100422873
hsa-mir-4298	100423021
hsa-mir-4291	100422927
hsa-mir-4292	100422860
hsa-mir-4293	100422843
hsa-mir-4294	100422895
hsa-mir-4290	100422963
hsa-mir-513b	100313822
hsa-mir-513c	100302114
hsa-mir-4288	100422903
hsa-mir-4289	100423015
hsa-mir-4284	100422948
hsa-mir-4285	100422858
hsa-mir-4286	100422982
hsa-mir-4287	100422828
hsa-mir-4280	100422887
hsa-mir-4281	100422962
hsa-mir-3160-1	100422827
hsa-mir-4282	100423005
hsa-mir-3160-2	100422825
hsa-mir-30c-2	407032
hsa-mir-30c-1	407031
hsa-mir-4509-3	100616382
hsa-mir-4509-2	100616228
hsa-mir-4509-1	100616223
hsa-mir-6499	102465246
hsa-mir-942	100126331
hsa-mir-944	100126340
hsa-mir-943	100126332
hsa-mir-6770-1	102465461
hsa-mir-6770-2	102465908
hsa-mir-6770-3	102466259
hsa-mir-940	100126328
hsa-mir-92b	693235
hsa-mir-1270-2"	100302179
hsa-mir-939	100126351
hsa-mir-938	100126327
hsa-mir-933	100126350
hsa-mir-514b	100422847
hsa-mir-935	100126325
hsa-mir-934	100126324
hsa-mir-937	100126338
hsa-mir-936	100126326
hsa-mir-5186	100847036
hsa-mir-5187	100847090
hsa-mir-5188	100847004
hsa-mir-5189	100847057
hsa-mir-920	100126320
hsa-mir-922	100126321
hsa-mir-921	100126349
hsa-mir-924	100126323
hsa-mir-517a	574479
hsa-mir-517b	574483
hsa-mir-517c	574492
hsa-mir-320d-1	100313896
hsa-mir-3116-2	100422946
hsa-mir-320d-2	100302169
hsa-mir-3116-1	100422902
hsa-mir-16-2	406951
hsa-mir-2909	100422969
hsa-mir-16-1	406950
hsa-mir-548o-2	100616190
hsa-mir-6731	102465437
hsa-mir-6730	102466722
hsa-mir-6733	102465439
hsa-mir-6732	102465438
mir-217"	406999
