miRNA_id	miRNA_family	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
hsa-mir-576-5p	mir-576-5p	0.052	-0.321	0.683	0.769	0.059	0.324	0.135	0.421	-0.667	0.019	-0.238	-0.377	-0.173	0.001	0.118	-0.153	-0.651
hsa-mir-103a-2-5p	mir-103a-2-5p	0.217	-0.439	-0.032	-0.054	-0.103	-0.345	-0.159	-0.315	-0.102	-0.181	0.238	0.103	0.723	0.052	0.3	-0.043	0.139
hsa-mir-195-5p	mir-15-5p/16-5p/195-5p/424-5p/497-5p	0.468	-0.305	-0.025	0.056	-0.275	0.144	-0.814	0.142	0.011	-0.17	0.009	0.253	-0.147	0.125	0.29	0.153	0.087
hsa-mir-483-5p	mir-483-5p	-1.464	2.199	-0.236	0.048	0.024	2.089	2.09	2.99	-1.11	-0.55	-1.185	0.215	-1.385	-1.419	-1.288	-0.155	-0.864
hsa-mir-339-3p	mir-339-3p	0.545	-0.142	-0.79	-0.336	-0.082	-1.304	-0.341	-1.189	1.082	-0.545	0.672	0.872	-0.055	0.188	0.489	0.184	0.754
hsa-mir-381-3p	mir-381-3p	-0.985	0.676	-0.486	-0.539	-0.651	-0.766	-0.328	-1.447	1.727	0.174	0.238	0.13	0.254	-0.546	1.343	-0.227	1.433
hsa-mir-874-3p	mir-874-3p	0.505	-0.799	-0.492	0.065	0.41	0.277	0.802	0.218	-0.219	1.598	-0.378	-0.396	-0.328	-0.472	-0.565	0.203	-0.429
hsa-mir-154-5p	mir-154-5p	-0.882	0.069	-0.548	-0.753	-0.606	-0.905	-0.24	-2.183	1.914	0.082	0.341	0.015	0.167	0.018	1.564	0.485	1.461
hsa-mir-127-3p	mir-127-3p	-1.215	0.341	-0.578	-0.278	-0.703	-0.773	-0.687	-1.3	1.869	0.696	0.061	-0.245	0.403	-0.332	1.475	-0.078	1.343
hsa-mir-34a-5p	mir-34-5p/449-5p	-0.575	2.655	-0.494	-0.028	-0.432	1.199	1.533	2.078	-0.597	-1.046	-0.804	0.245	-0.64	-0.451	-1.374	-0.27	-1
hsa-mir-424-5p	mir-15-5p/16-5p/195-5p/424-5p/497-5p	-0.161	-1.487	0.757	0.809	-0.013	-0.82	-0.55	-0.821	-0.186	0.35	-0.286	0.502	0.135	0.595	0.426	0.427	0.324
hsa-mir-374c-5p	mir-655-3p	-0.362	-0.252	0.055	0.055	-0.044	-0.589	-1.477	-1.646	0.596	0.744	0.607	0.603	0.995	-0.17	0.714	-0.098	0.268
hsa-mir-769-5p	mir-769-5p	0.795	-0.514	-0.826	-0.208	0.288	-0.222	-0.545	-0.675	0.934	-0.38	0.354	0.911	-0.265	0.101	0.187	-0.289	0.353
hsa-mir-141-3p	mir-141-3p/200a-3p	0.468	-0.108	0.37	0.32	0.376	0.006	0.069	-0.699	0.419	-0.694	-0.226	0.526	-0.039	0.013	-0.494	-0.214	-0.094
