Ensembl	GeneSymbol	R1t0_5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R2t0_5	R2t1	R2t2	R2t8	R2t16	R2t24	R2t30
ENSG00000177105	RHOG	-0.05	-0.1	-0.19	-0.24	0.12	-0.02	-0.03	-0.11	-0.23	-0.46	0.14	0.07	0.02	-0.01
ENSG00000177733	HNRNPA0	-0.15	-0.31	-0.63	-1.49	-1.08	-0.67	-0.37	-0.02	-0.05	-0.11	-0.44	-0.47	-0.32	-0.19
ENSG00000179085	DPM3	-0.09	-0.19	-0.39	-0.46	-0.53	-0.26	-0.01	0.02	0.05	0.1	-0.51	-0.16	0.23	0.53
ENSG00000179335	CLK3	0.07	0.14	0.28	0.15	-0.01	-0.1	-0.17	0.08	0.16	0.32	0.21	0.19	0.1	0.03
ENSG00000182004	SNRPE	-0.08	-0.16	-0.33	-0.92	-0.65	-0.38	-0.18	-0.01	-0.03	-0.05	-0.43	-0.22	-0.08	0.03
ENSG00000184076	UQCR10	-0.19	-0.38	-0.76	-1.07	-0.99	-0.42	-0.06	-0.14	-0.28	-0.55	-0.86	-0.62	-0.34	-0.13
ENSG00000184117	NIPSNAP1	0	-0.01	-0.01	-0.46	-0.46	-0.18	0.05	-0.09	-0.19	-0.37	-0.6	-0.37	-0.16	0
ENSG00000188976	NOC2L	-0.18	-0.36	-0.72	-1	-0.52	-0.39	-0.32	-0.07	-0.15	-0.31	-0.12	-0.06	0.03	0.11
ENSG00000196591	HDAC2	0	-0.01	-0.01	-0.54	-0.32	-0.17	-0.06	-0.06	-0.13	-0.26	-0.15	-0.12	-0.1	-0.09
ENSG00000197157	SND1	-0.07	-0.13	-0.26	-1.07	-0.1	0.1	0.22	-0.04	-0.07	-0.13	0.11	-0.14	-0.52	-0.82
ENSG00000198042	MAK16	0.07	0.14	0.28	0.08	-0.07	-0.05	-0.01	-0.09	-0.18	-0.36	-0.32	-0.3	-0.25	-0.2
ENSG00000198712	MT-CO2	-0.01	-0.02	-0.05	0.14	-0.01	-0.02	-0.03	-0.03	-0.07	-0.13	0.12	0.08	0.07	0.07
ENSG00000204316	MRPL38	-0.07	-0.14	-0.28	0.03	-0.05	-0.16	-0.25	-0.14	-0.27	-0.54	-0.1	-0.19	-0.23	-0.26
ENSG00000213585	VDAC1	0.06	0.11	0.22	-0.45	-0.49	-0.28	-0.1	-0.12	-0.23	-0.47	-0.63	-0.63	-0.32	-0.2
ENSG00000214026	MRPL23	-0.14	-0.29	-0.57	-0.99	-0.57	-0.37	-0.18	-0.09	-0.18	-0.35	0.11	0	0.02	0.05
ENSG00000239672	NME1	-0.05	-0.1	-0.2	-0.38	-0.39	-0.31	-0.25	-0.02	-0.04	-0.07	-0.21	-0.27	-0.18	-0.1
ENSG00000241685	ARPC1A	-0.03	-0.05	-0.1	-0.76	-0.51	-0.18	0.08	-0.14	-0.29	-0.58	-0.45	-0.33	-0.24	-0.17
ENSG00000241945	PWP2	-0.03	-0.06	-0.12	-0.74	-0.54	-0.34	-0.18	-0.1	-0.19	-0.38	-0.51	-0.51	-0.5	-0.49
